"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","stim","subjectKey","src_subject_id","interview_date","interview_age","sex","trial","response_speech"
"354.3299999982992","<h1 style=""color:white;"">Welcome to the experiment!</h1><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","356","0.0-0.0","","","","","","","","",""
"193.5300000004645","<h2 style=""color:white;"">In this task you will listen to a series of audio clips.</h2><h2 style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","1","551","0.0-1.0-0.0","","","","","","","","",""
"138.98499999777414","<h2 style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","2","690","0.0-1.0-1.0","","","","","","","","",""
"116.07999999978347","<h2 style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","3","807","0.0-1.0-2.0","","","","","","","","",""
"118.0400000012014","<h2 style=""color:white;"">We will now begin the first test block.</h2> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","4","925","0.0-1.0-3.0","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","5","1930","0.0-2.0-0.0","","","","","","","","",""
"null","sounds/intel_45/I_BKBQ0512.wav","null","audio-keyboard-response","6","3686","0.0-2.0-1.0","","","","","","","","",""
"319.87999999910244","<h1 style=""color:white;"">Could you hear speech in the audio?</h1><h3 style=""color:white;"">Press ""1"" for Yes &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for No</h3>","49","html-keyboard-response","7","4006","0.0-2.0-2.0","intel","512.wav","GUID","41232131","10/12/2020","12","F","1","1"
"null","<h2 style=""color:white;"">You will now hear some short sentences.</h2><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","8","14008","0.0-3.0","","","","","","","","",""
"null","sounds/unaltered_45/BKBQ1912.WAV","null","audio-keyboard-response","9","15984","0.0-4.0-0.0","unaltered","1912.wav","GUID","41232131","10/12/2020","12","F","2",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","16490","0.0-4.0-1.0","","","","","","","","",""
"null","<h2 style=""color:white;"">We will now begin the second test block.</h2","null","html-keyboard-response","11","26494","0.0-5.0","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","12","27499","0.0-6.0-0.0","","","","","","","","",""
"null","sounds/unintel_45/U_BKBQ0416.WAV","null","audio-keyboard-response","13","29392","0.0-6.0-1.0","","","","","","","","",""
"1022.2399999984191","<h1 style=""color:white;"">Could you hear speech in the audio?</h1><h3 style=""color:white;"">Press ""1"" for Yes &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for No</h3>","48","html-keyboard-response","14","30415","0.0-6.0-2.0","unintel","416.wav","GUID","41232131","10/12/2020","12","F","3","0"
"null","<p>Data saving...</p><div class=""sk-cube-grid""><div class=""sk-cube sk-cube1""></div><div class=""sk-cube sk-cube2""></div><div class=""sk-cube sk-cube3""></div><div class=""sk-cube sk-cube4""></div><div class=""sk-cube sk-cube5""></div><div class=""sk-cube sk-cube6""></div><div class=""sk-cube sk-cube7""></div><div class=""sk-cube sk-cube8""></div><div class=""sk-cube sk-cube9""></div></div><p>Do not close this window until the text dissapears.</p>","null","html-keyboard-response","15","35416","0.0-7.0","","","","","","","","",""
