"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","index","test_part","stim","subjectKey","src_subject_id","site","interview_date","interview_age","sex","response"
"783.4100000036415","<h1 style=""color:white;"">Welcome to the experiment!</h1><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","786","0.0-0.0","","","","","","","","","",""
"194.9750000203494","<h2 style=""color:white;"">In this task you will listen to a series of audio clips.</h2><h2 style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","1","982","0.0-1.0-0.0","","","","","","","","","",""
"140.20500000333413","<h2 style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","2","1123","0.0-1.0-1.0","","","","","","","","","",""
"167.47499999473803","<h2 style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","3","1291","0.0-1.0-2.0","","","","","","","","","",""
"194.33500000741333","<h2 style=""color:white;"">We will now begin the first test block.</h2> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","4","1485","0.0-1.0-3.0","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","5","2491","0.0-2.0-0.0","","","","","","","","","",""
"null","sounds/intel_45/I_BKBQ0513.wav","null","audio-keyboard-response","6","4170","0.0-2.0-1.0","0","","","","","","","","",""
"1080.435000010766","<h1 style=""color:white;"">Could you hear speech in the audio?</h1><h3 style=""color:white;"">Press ""1"" for Yes &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for No</h3>","48","html-keyboard-response","7","5251","0.0-2.0-2.0","1","intel","513.wav","GUID","30989778","30","09/24/2020","12","F","0"
"null","<h2 style=""color:white;"">You will now hear some short sentences.</h2><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","8","15254","0.0-3.0","","","","","","","","","",""
"null","sounds/unaltered_45/BKBQ2002.WAV","null","audio-keyboard-response","9","16111","0.0-4.0-0.0","1","unaltered","2002.wav","GUID","30989778","30","09/24/2020","12","F",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","16615","0.0-4.0-1.0","","","","","","","","","",""
"null","<h2 style=""color:white;"">We will now begin the second test block.</h2","null","html-keyboard-response","11","26617","0.0-5.0","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","12","27622","0.0-6.0-0.0","","","","","","","","","",""
"null","sounds/intel_45/I_BKBQ0102.wav","null","audio-keyboard-response","13","29585","0.0-6.0-1.0","2","","","","","","","","",""
"1959.2349999875296","<h1 style=""color:white;"">Could you hear speech in the audio?</h1><h3 style=""color:white;"">Press ""1"" for Yes &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for No</h3>","48","html-keyboard-response","14","31544","0.0-6.0-2.0","3","intel","102.wav","GUID","30989778","30","09/24/2020","12","F","0"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","15","36549","0.0-7.0-0.0","","","","","","","","","",""
