"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","test_part","stim","workerId","interview_date","handedness","version","index","response_speech"
"true","false","[]","[]","[]","preload","0","97","0.0-0.0","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","449","0.0-1.0","351","<h1 style=""color:white;"">Welcome to the experiment!</h1><p style=""color:white;"">Press any key to continue.</p>"," ","","","","","","","",""
"","","","","","html-keyboard-response","2","877","0.0-2.0-0.0","428","<h2 style=""color:white;"">In this task you will listen to a series of audio clips.</h2><h2 style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</h2><p style=""color:white;"">Press any key to continue.</p>"," ","","","","","","","",""
"","","","","","html-keyboard-response","3","1066","0.0-2.0-1.0","188","<h2 style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</h2><p style=""color:white;"">Press any key to continue.</p>"," ","","","","","","","",""
"","","","","","html-keyboard-response","4","1335","0.0-2.0-2.0","269","<h2 style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</h2><p style=""color:white;"">Press any key to continue.</p>"," ","","","","","","","",""
"","","","","","html-keyboard-response","5","1530","0.0-2.0-3.0","193","<h2 style=""color:white;"">We will now begin the first test block.</h2> <p style=""color:white;"">Press any key to begin.</p>"," ","","","","","","","",""
"","","","","","html-keyboard-response","6","2536","0.0-3.0-0.0","null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","","","","","","","",""
"","","","","","audio-keyboard-response","7","4317","0.0-3.0-1.0","null","./stim/unintel45/U_BKBQ0203.WAV","null","","","","","","","",""
"","","","","","html-keyboard-response","8","5476","0.0-3.0-2.0","1158","<h1 style=""color:white;"">Could you hear a complete sentence in the audio?</h1><h3 style=""color:white;"">Press ""1"" for Yes &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for No</h3>","0","unintel","./stim/unintel45/U_BKBQ0203.WAV","123","03/03/2024","right","standard","0","0"
"","","","","","html-keyboard-response","9","15479","0.0-4.0","null","<h2 style=""color:white;"">You will now hear some short sentences.</h2><p style=""color:white;"">You do not need to respond, just listen.</p>","null","","","","","","","",""
"","","","","","audio-keyboard-response","10","17217","0.0-5.0-0.0","null","./stim/unaltered90/BKBQ1916.WAV","null","unaltered","./stim/unaltered90/BKBQ1916.WAV","123","03/03/2024","right","standard","1",""
"","","","","","html-keyboard-response","11","17722","0.0-5.0-1.0","null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","","","","","","","",""
"","","","","","html-keyboard-response","12","27727","0.0-6.0","null","<h2 style=""color:white;"">We will now begin the second test block.</h2","null","","","","","","","",""
"","","","","","html-keyboard-response","13","28734","0.0-7.0-0.0","null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","","","","","","","",""
"","","","","","audio-keyboard-response","14","30614","0.0-7.0-1.0","null","./stim/unintel45/U_BKBQ0401.WAV","null","","","","","","","",""
"","","","","","html-keyboard-response","15","33138","0.0-7.0-2.0","2522","<h1 style=""color:white;"">Could you hear a complete sentence in the audio?</h1><h3 style=""color:white;"">Press ""1"" for Yes &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for No</h3>","0","unintel","./stim/unintel45/U_BKBQ0401.WAV","123","03/03/2024","right","standard","2","0"
"","","","","","html-keyboard-response","16","38141","0.0-8.0","null","
<div class='data-save-animation'>
    <p>Data saving...</p>
    <div class=""sk-cube-grid"">
        <div class=""sk-cube sk-cube1""></div>
        <div class=""sk-cube sk-cube2""></div>
        <div class=""sk-cube sk-cube3""></div>
        <div class=""sk-cube sk-cube4""></div>
        <div class=""sk-cube sk-cube5""></div>
        <div class=""sk-cube sk-cube6""></div>
        <div class=""sk-cube sk-cube7""></div>
        <div class=""sk-cube sk-cube8""></div>
        <div class=""sk-cube sk-cube9""></div>
    </div>
    <p>Do not close this window until the text disappears.</p>
</div>","null","","","","","","","",""
